frequency_hz,z0_real,z0_imag,s11_real,s11_imag,s21_real,s21_imag
4.050000000000e+09,3.093052262352e+01,8.442551009969e-03,-2.636287983296e-03,-3.481110475140e-02,9.979440700964e-01,-5.766487412596e-02
4.065000000000e+09,3.093101470956e+01,7.931723859134e-03,-2.648075377859e-03,-3.495009032475e-02,9.979422955698e-01,-5.789571798806e-02
4.080000000000e+09,3.093148988358e+01,7.431815588995e-03,-2.660352308935e-03,-3.508913228887e-02,9.979397840362e-01,-5.812669118699e-02
4.095000000000e+09,3.093194805440e+01,6.942997724578e-03,-2.673112640186e-03,-3.522822001842e-02,9.979365450107e-01,-5.835777616575e-02
4.110000000000e+09,3.093238914932e+01,6.465413995708e-03,-2.686350157708e-03,-3.536734324298e-02,9.979325881501e-01,-5.858895594079e-02
4.125000000000e+09,3.093281311361e+01,5.999181825741e-03,-2.700058578584e-03,-3.550649203800e-02,9.979279232375e-01,-5.882021408757e-02
4.140000000000e+09,3.093321990995e+01,5.544393706259e-03,-2.714231558977e-03,-3.564565681595e-02,9.979225601698e-01,-5.905153472645e-02
4.155000000000e+09,3.093360951793e+01,5.101118604797e-03,-2.728862701802e-03,-3.578482831766e-02,9.979165089437e-01,-5.928290250877e-02
4.170000000000e+09,3.093398193346e+01,4.669403267282e-03,-2.743945563981e-03,-3.592399760380e-02,9.979097796445e-01,-5.951430260327e-02
4.185000000000e+09,3.093433716837e+01,4.249273487792e-03,-2.759473663308e-03,-3.606315604656e-02,9.979023824341e-01,-5.974572068278e-02
4.200000000000e+09,3.093467524978e+01,3.840735352770e-03,-2.775440484947e-03,-3.620229532151e-02,9.978943275398e-01,-5.997714291118e-02
4.215000000000e+09,3.093499621974e+01,3.443776415700e-03,-2.791839487565e-03,-3.634140739967e-02,9.978856252448e-01,-6.020855593064e-02
4.230000000000e+09,3.093530013462e+01,3.058366854289e-03,-2.808664109133e-03,-3.648048453965e-02,9.978762858774e-01,-6.043994684916e-02
4.245000000000e+09,3.093558706476e+01,2.684460562784e-03,-2.825907772408e-03,-3.661951928010e-02,9.978663198026e-01,-6.067130322835e-02
4.260000000000e+09,3.093585709389e+01,2.321996226108e-03,-2.843563890098e-03,-3.675850443227e-02,9.978557374130e-01,-6.090261307157e-02
4.275000000000e+09,3.093611031877e+01,1.970898317604e-03,-2.861625869741e-03,-3.689743307275e-02,9.978445491203e-01,-6.113386481224e-02
4.290000000000e+09,3.093634684865e+01,1.631078113462e-03,-2.880087118308e-03,-3.703629853637e-02,9.978327653482e-01,-6.136504730251e-02
4.305000000000e+09,3.093656680491e+01,1.302434604947e-03,-2.898941046532e-03,-3.717509440931e-02,9.978203965242e-01,-6.159614980218e-02
4.320000000000e+09,3.093677032055e+01,9.848554203275e-04,-2.918181072999e-03,-3.731381452237e-02,9.978074530735e-01,-6.182716196786e-02
4.335000000000e+09,3.093695753983e+01,6.782176957594e-04,-2.937800627985e-03,-3.745245294437e-02,9.977939454118e-01,-6.205807384246e-02
4.350000000000e+09,3.093712861777e+01,3.823889068944e-04,-2.957793157071e-03,-3.759100397576e-02,9.977798839397e-01,-6.228887584484e-02
4.365000000000e+09,3.093728371982e+01,9.722766246369e-05,-2.978152124546e-03,-3.772946214235e-02,9.977652790363e-01,-6.251955875984e-02
4.380000000000e+09,3.093742302137e+01,-1.774155262116e-04,-2.998871016593e-03,-3.786782218928e-02,9.977501410544e-01,-6.275011372848e-02
4.395000000000e+09,3.093754670741e+01,-4.416975051522e-04,-3.019943344288e-03,-3.800607907503e-02,9.977344803148e-01,-6.298053223847e-02
4.410000000000e+09,3.093765497210e+01,-6.957817925077e-04,-3.041362646408e-03,-3.814422796570e-02,9.977183071020e-01,-6.321080611488e-02
4.425000000000e+09,3.093774801837e+01,-9.398378962538e-04,-3.063122492063e-03,-3.828226422934e-02,9.977016316594e-01,-6.344092751116e-02
4.440000000000e+09,3.093782605759e+01,-1.174040673633e-03,-3.085216483162e-03,-3.842018343054e-02,9.976844641850e-01,-6.367088890033e-02
4.455000000000e+09,3.093788930913e+01,-1.398569732142e-03,-3.107638256710e-03,-3.855798132505e-02,9.976668148276e-01,-6.390068306643e-02
4.470000000000e+09,3.093793800001e+01,-1.613608839565e-03,-3.130381486968e-03,-3.869565385461e-02,9.976486936832e-01,-6.413030309616e-02
4.485000000000e+09,3.093797236456e+01,-1.819345367400e-03,-3.153439887454e-03,-3.883319714197e-02,9.976301107912e-01,-6.435974237083e-02
4.500000000000e+09,3.093799264402e+01,-2.015969772151e-03,-3.176807212821e-03,-3.897060748587e-02,9.976110761314e-01,-6.458899455841e-02
4.515000000000e+09,3.093799908623e+01,-2.203675083923e-03,-3.200477260587e-03,-3.910788135640e-02,9.975915996210e-01,-6.481805360594e-02
4.530000000000e+09,3.093799194524e+01,-2.382656433704e-03,-3.224443872763e-03,-3.924501539027e-02,9.975716911115e-01,-6.504691373198e-02
4.545000000000e+09,3.093797148100e+01,-2.553110603681e-03,-3.248700937346e-03,-3.938200638632e-02,9.975513603866e-01,-6.527556941944e-02
4.560000000000e+09,3.093793795899e+01,-2.715235583479e-03,-3.273242389714e-03,-3.951885130118e-02,9.975306171593e-01,-6.550401540846e-02
4.575000000000e+09,3.093789164995e+01,-2.869230191452e-03,-3.298062213905e-03,-3.965554724496e-02,9.975094710697e-01,-6.573224668960e-02
4.590000000000e+09,3.093783282950e+01,-3.015293664347e-03,-3.323154443804e-03,-3.979209147713e-02,9.974879316833e-01,-6.596025849719e-02
4.605000000000e+09,3.093776177784e+01,-3.153625309694e-03,-3.348513164235e-03,-3.992848140248e-02,9.974660084886e-01,-6.618804630278e-02
4.620000000000e+09,3.093767877945e+01,-3.284424144717e-03,-3.374132511957e-03,-4.006471456724e-02,9.974437108956e-01,-6.641560580892e-02
4.635000000000e+09,3.093758412278e+01,-3.407888605286e-03,-3.400006676584e-03,-4.020078865524e-02,9.974210482341e-01,-6.664293294303e-02
4.650000000000e+09,3.093747809993e+01,-3.524216205180e-03,-3.426129901415e-03,-4.033670148425e-02,9.973980297523e-01,-6.687002385143e-02
